iter	Passed	Remaining
0	64	64546
1	71	35501
2	77	25715
3	82	20659
4	91	18110
5	97	16180
6	102	14545
7	108	13458
8	115	12752
9	121	12060
10	129	11617
11	135	11121
12	141	10724
13	146	10317
14	151	9948
15	156	9652
16	162	9421
17	167	9162
18	174	8997
19	180	8856
20	185	8660
21	193	8580
22	198	8423
23	203	8268
24	209	8166
25	215	8062
26	221	7979
27	227	7908
28	232	7798
29	239	7736
30	244	7654
31	250	7570
32	256	7517
33	262	7457
34	267	7388
35	274	7349
36	280	7294
37	285	7231
38	292	7198
39	298	7160
40	304	7116
41	309	7067
42	315	7027
43	321	6993
44	327	6954
45	333	6910
46	339	6881
47	344	6838
48	350	6793
49	356	6780
50	362	6745
51	368	6721
52	375	6700
53	380	6670
54	387	6654
55	393	6628
56	399	6609
57	407	6616
58	413	6587
59	419	6570
60	425	6547
61	431	6529
62	437	6512
63	442	6473
64	448	6446
65	454	6435
66	460	6409
67	465	6380
68	471	6358
69	476	6326
70	481	6303
71	488	6291
72	493	6264
73	498	6243
74	504	6221
75	509	6192
76	514	6166
77	521	6158
78	526	6138
79	532	6122
80	537	6099
81	542	6072
82	547	6045
83	553	6036
84	559	6018
85	564	5998
86	569	5978
87	574	5953
88	579	5927
89	584	5908
90	589	5890
91	595	5875
92	600	5852
93	604	5829
94	609	5808
95	614	5789
96	619	5769
97	624	5749
98	629	5728
99	634	5713
100	640	5699
101	645	5681
102	650	5665
103	655	5646
104	659	5625
105	665	5611
106	671	5602
107	676	5586
108	681	5571
109	687	5560
110	692	5545
111	697	5532
112	702	5515
113	707	5498
114	712	5482
115	717	5465
116	722	5455
117	727	5436
118	732	5421
119	737	5406
120	742	5392
121	747	5378
122	752	5363
123	757	5348
124	762	5334
125	767	5321
126	772	5308
127	777	5295
128	782	5286
129	787	5272
130	792	5256
131	798	5249
132	803	5237
133	808	5223
134	814	5216
135	819	5205
136	824	5192
137	830	5186
138	834	5172
139	839	5159
140	845	5150
141	850	5139
142	855	5126
143	860	5116
144	866	5110
145	872	5101
146	880	5107
147	885	5096
148	890	5086
149	896	5080
150	901	5067
151	906	5056
152	911	5047
153	917	5039
154	922	5028
155	927	5019
156	933	5010
157	937	4998
158	943	4990
159	948	4977
160	953	4967
161	958	4955
162	963	4946
163	968	4935
164	972	4923
165	978	4916
166	984	4909
167	989	4900
168	995	4895
169	1000	4885
170	1005	4873
171	1010	4866
172	1016	4857
173	1021	4849
174	1027	4845
175	1033	4839
176	1039	4831
177	1044	4824
178	1049	4813
179	1054	4805
180	1061	4803
181	1067	4796
182	1072	4789
183	1078	4784
184	1084	4779
185	1091	4774
186	1097	4772
187	1104	4770
188	1110	4767
189	1116	4761
190	1123	4758
191	1129	4754
192	1135	4749
193	1142	4747
194	1148	4741
195	1153	4732
196	1160	4728
197	1168	4731
198	1176	4735
199	1183	4734
200	1192	4742
201	1200	4742
202	1209	4750
203	1216	4748
204	1225	4750
205	1231	4745
206	1239	4748
207	1247	4748
208	1256	4753
209	1262	4751
210	1270	4750
211	1277	4750
212	1284	4745
213	1292	4746
214	1298	4740
215	1306	4742
216	1313	4737
217	1320	4736
218	1328	4736
219	1334	4732
220	1342	4731
221	1349	4728
222	1355	4722
223	1360	4714
224	1366	4705
225	1372	4699
226	1379	4696
227	1386	4693
228	1392	4687
229	1397	4678
230	1403	4671
231	1408	4663
232	1414	4654
233	1419	4648
